<<<<<<< HEAD
=======
{"ip":"::1","level":"error","message":"Illegal mix of collations (utf8mb4_0900_ai_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '='","method":"GET","stack":"Error: Illegal mix of collations (utf8mb4_0900_ai_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '='\n    at PromisePool.execute (D:\\College Integration\\College\\backend\\node_modules\\mysql2\\lib\\promise\\pool.js:54:22)\n    at file:///D:/College%20Integration/College/backend/controllers/studentpageController.js:619:29\n    at file:///D:/College%20Integration/College/backend/utils/catchAsync.js:3:5\n    at Layer.handle [as handle_request] (D:\\College Integration\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (D:\\College Integration\\College\\backend\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at Route.dispatch (D:\\College Integration\\College\\backend\\node_modules\\express\\lib\\router\\route.js:119:3)\n    at Layer.handle [as handle_request] (D:\\College Integration\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at D:\\College Integration\\College\\backend\\node_modules\\express\\lib\\router\\index.js:284:15\n    at Function.process_params (D:\\College Integration\\College\\backend\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (D:\\College Integration\\College\\backend\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at file:///D:/College%20Integration/College/backend/controllers/auth/authController.js:338:7\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)","timestamp":"2026-01-05T08:38:23.899Z","url":"/api/student/academic-ids"}
{"ip":"::1","level":"error","message":"Illegal mix of collations (utf8mb4_0900_ai_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '='","method":"GET","stack":"Error: Illegal mix of collations (utf8mb4_0900_ai_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '='\n    at PromisePool.execute (D:\\College Integration\\College\\backend\\node_modules\\mysql2\\lib\\promise\\pool.js:54:22)\n    at file:///D:/College%20Integration/College/backend/controllers/studentpageController.js:619:29\n    at file:///D:/College%20Integration/College/backend/utils/catchAsync.js:3:5\n    at Layer.handle [as handle_request] (D:\\College Integration\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (D:\\College Integration\\College\\backend\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at Route.dispatch (D:\\College Integration\\College\\backend\\node_modules\\express\\lib\\router\\route.js:119:3)\n    at Layer.handle [as handle_request] (D:\\College Integration\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at D:\\College Integration\\College\\backend\\node_modules\\express\\lib\\router\\index.js:284:15\n    at Function.process_params (D:\\College Integration\\College\\backend\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (D:\\College Integration\\College\\backend\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at file:///D:/College%20Integration/College/backend/controllers/auth/authController.js:338:7\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)","timestamp":"2026-01-05T08:38:32.428Z","url":"/api/student/academic-ids"}
{"ip":"::1","level":"error","message":"Not allowed by CORS","method":"OPTIONS","stack":"Error: Not allowed by CORS\n    at origin (file:///D:/finalAMS/Academic-Management-System-Final-/College/backend/app.js:53:16)\n    at D:\\finalAMS\\Academic-Management-System-Final-\\College\\backend\\node_modules\\cors\\lib\\index.js:219:13\n    at optionsCallback (D:\\finalAMS\\Academic-Management-System-Final-\\College\\backend\\node_modules\\cors\\lib\\index.js:199:9)\n    at corsMiddleware (D:\\finalAMS\\Academic-Management-System-Final-\\College\\backend\\node_modules\\cors\\lib\\index.js:204:7)\n    at Layer.handle [as handle_request] (D:\\finalAMS\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at trim_prefix (D:\\finalAMS\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:328:13)\n    at D:\\finalAMS\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:286:9\n    at Function.process_params (D:\\finalAMS\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (D:\\finalAMS\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at file:///D:/finalAMS/Academic-Management-System-Final-/College/backend/app.js:43:3\n    at Layer.handle [as handle_request] (D:\\finalAMS\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at trim_prefix (D:\\finalAMS\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:328:13)\n    at D:\\finalAMS\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:286:9\n    at Function.process_params (D:\\finalAMS\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (D:\\finalAMS\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at expressInit (D:\\finalAMS\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\middleware\\init.js:40:5)","timestamp":"2026-01-07T16:35:06.608Z","url":"/api/auth/login"}
{"level":"error","message":{"ip":"::1","message":"","method":"POST","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1139:18)\n    at afterConnectMultiple (node:net:1712:7)","url":"/api/auth/login"},"timestamp":"2026-01-22T08:27:25.225Z"}
{"level":"error","message":{"ip":"::1","message":"","method":"POST","stack":"AggregateError [ECONNREFUSED]: \n    at internalConnectMultiple (node:net:1139:18)\n    at afterConnectMultiple (node:net:1712:7)","url":"/api/auth/login"},"timestamp":"2026-01-22T08:27:33.436Z"}
{"ip":"::1","level":"error","message":"StaffCourse is not associated to User!","method":"GET","stack":"SequelizeEagerLoadingError: StaffCourse is not associated to User!\n    at User._getIncludedAssociation (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:565:13)\n    at User._validateIncludedElement (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:502:53)\n    at D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:421:37\n    at Array.map (<anonymous>)\n    at User._validateIncludedElements (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:417:39)\n    at User.findAll (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:1124:12)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)\n    at async file:///D:/Projects/AcadCore/ACADCORE/Academic-Management-System-Final-/College/backend/controllers/staffCourseController.js:12:17","timestamp":"2026-02-18T09:56:02.837Z","url":"/api/admin/users"}
{"ip":"::1","level":"error","message":"StaffCourse is not associated to User!","method":"GET","stack":"SequelizeEagerLoadingError: StaffCourse is not associated to User!\n    at User._getIncludedAssociation (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:565:13)\n    at User._validateIncludedElement (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:502:53)\n    at D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:421:37\n    at Array.map (<anonymous>)\n    at User._validateIncludedElements (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:417:39)\n    at User.findAll (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:1124:12)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)\n    at async file:///D:/Projects/AcadCore/ACADCORE/Academic-Management-System-Final-/College/backend/controllers/staffCourseController.js:12:17","timestamp":"2026-02-18T09:56:02.844Z","url":"/api/admin/users"}
{"ip":"::1","level":"error","message":"StaffCourse is not associated to User!","method":"GET","stack":"SequelizeEagerLoadingError: StaffCourse is not associated to User!\n    at User._getIncludedAssociation (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:565:13)\n    at User._validateIncludedElement (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:502:53)\n    at D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:421:37\n    at Array.map (<anonymous>)\n    at User._validateIncludedElements (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:417:39)\n    at User.findAll (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:1124:12)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)\n    at async file:///D:/Projects/AcadCore/ACADCORE/Academic-Management-System-Final-/College/backend/controllers/staffCourseController.js:12:17","timestamp":"2026-02-18T09:56:06.297Z","url":"/api/admin/users"}
{"ip":"::1","level":"error","message":"StaffCourse is not associated to User!","method":"GET","stack":"SequelizeEagerLoadingError: StaffCourse is not associated to User!\n    at User._getIncludedAssociation (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:565:13)\n    at User._validateIncludedElement (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:502:53)\n    at D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:421:37\n    at Array.map (<anonymous>)\n    at User._validateIncludedElements (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:417:39)\n    at User.findAll (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\sequelize\\lib\\model.js:1124:12)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)\n    at async file:///D:/Projects/AcadCore/ACADCORE/Academic-Management-System-Final-/College/backend/controllers/staffCourseController.js:12:17","timestamp":"2026-02-18T09:56:06.312Z","url":"/api/admin/users"}
{"ip":"::1","level":"error","message":"sequelize is not defined","method":"GET","stack":"ReferenceError: sequelize is not defined\n    at file:///D:/Projects/AcadCore/ACADCORE/Academic-Management-System-Final-/College/backend/controllers/studentController.js:194:19\n    at file:///D:/Projects/AcadCore/ACADCORE/Academic-Management-System-Final-/College/backend/utils/catchAsync.js:3:5\n    at Layer.handle [as handle_request] (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at requireAuth (file:///D:/Projects/AcadCore/ACADCORE/Academic-Management-System-Final-/College/backend/middleware/requireAuth.js:23:5)\n    at Layer.handle [as handle_request] (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at Route.dispatch (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\route.js:119:3)\n    at Layer.handle [as handle_request] (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:284:15\n    at router.process_params (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at router.handle (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:175:3)\n    at router (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:47:12)\n    at Layer.handle [as handle_request] (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at trim_prefix (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:328:13)","timestamp":"2026-02-18T09:56:09.691Z","url":"/api/admin/students/branches"}
{"ip":"::1","level":"error","message":"sequelize is not defined","method":"GET","stack":"ReferenceError: sequelize is not defined\n    at file:///D:/Projects/AcadCore/ACADCORE/Academic-Management-System-Final-/College/backend/controllers/studentController.js:202:19\n    at file:///D:/Projects/AcadCore/ACADCORE/Academic-Management-System-Final-/College/backend/utils/catchAsync.js:3:5\n    at Layer.handle [as handle_request] (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at requireAuth (file:///D:/Projects/AcadCore/ACADCORE/Academic-Management-System-Final-/College/backend/middleware/requireAuth.js:23:5)\n    at Layer.handle [as handle_request] (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at Route.dispatch (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\route.js:119:3)\n    at Layer.handle [as handle_request] (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:284:15\n    at router.process_params (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at router.handle (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:175:3)\n    at router (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:47:12)\n    at Layer.handle [as handle_request] (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at trim_prefix (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:328:13)","timestamp":"2026-02-18T09:56:09.694Z","url":"/api/admin/students/semesters"}
{"ip":"::1","level":"error","message":"sequelize is not defined","method":"GET","stack":"ReferenceError: sequelize is not defined\n    at file:///D:/Projects/AcadCore/ACADCORE/Academic-Management-System-Final-/College/backend/controllers/studentController.js:194:19\n    at file:///D:/Projects/AcadCore/ACADCORE/Academic-Management-System-Final-/College/backend/utils/catchAsync.js:3:5\n    at Layer.handle [as handle_request] (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at requireAuth (file:///D:/Projects/AcadCore/ACADCORE/Academic-Management-System-Final-/College/backend/middleware/requireAuth.js:23:5)\n    at Layer.handle [as handle_request] (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at Route.dispatch (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\route.js:119:3)\n    at Layer.handle [as handle_request] (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:284:15\n    at router.process_params (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at router.handle (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:175:3)\n    at router (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:47:12)\n    at Layer.handle [as handle_request] (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at trim_prefix (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:328:13)","timestamp":"2026-02-18T09:56:09.701Z","url":"/api/admin/students/branches"}
{"ip":"::1","level":"error","message":"sequelize is not defined","method":"GET","stack":"ReferenceError: sequelize is not defined\n    at file:///D:/Projects/AcadCore/ACADCORE/Academic-Management-System-Final-/College/backend/controllers/studentController.js:202:19\n    at file:///D:/Projects/AcadCore/ACADCORE/Academic-Management-System-Final-/College/backend/utils/catchAsync.js:3:5\n    at Layer.handle [as handle_request] (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at requireAuth (file:///D:/Projects/AcadCore/ACADCORE/Academic-Management-System-Final-/College/backend/middleware/requireAuth.js:23:5)\n    at Layer.handle [as handle_request] (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at Route.dispatch (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\route.js:119:3)\n    at Layer.handle [as handle_request] (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:284:15\n    at router.process_params (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at router.handle (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:175:3)\n    at router (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:47:12)\n    at Layer.handle [as handle_request] (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at trim_prefix (D:\\Projects\\AcadCore\\ACADCORE\\Academic-Management-System-Final-\\College\\backend\\node_modules\\express\\lib\\router\\index.js:328:13)","timestamp":"2026-02-18T09:56:09.704Z","url":"/api/admin/students/semesters"}
