"register_number","course_code","grade"
"2312001","23SH11C","C"
"2312001","23SH12C","B"
"2312001","23SH13C","A"
"2312001","23SH14C","U"
"2312001","23SH15C","B"
"2312001","23SH16C","B+"
"2312001","23CS11C","O"
"2312001","23EE11C","C"
"2312002","23SH11C","C"
"2312002","23SH12C","B+"
"2312002","23SH13C","A+"
"2312002","23SH14C","C"
"2312002","23SH15C","B"
"2312002","23SH16C","A"
"2312002","23CS11C","U"
"2312002","23EE11C","B"
"2312003","23SH11C","B"
"2312003","23SH12C","B+"
"2312003","23SH13C","O"
"2312003","23SH14C","C"
"2312003","23SH15C","B+"
"2312003","23SH16C","A+"
"2312003","23CS11C","C"
"2312003","23EE11C","B"
"2312005","23SH11C","B+"
"2312005","23SH12C","A+"
"2312005","23SH13C","C"
"2312005","23SH14C","B"
"2312005","23SH15C","A"
"2312005","23SH16C","U"
"2312005","23CS11C","B"
"2312005","23EE11C","B+"
"2312006","23SH11C","B+"
"2312006","23SH12C","O"
"2312006","23SH13C","C"
"2312006","23SH14C","B+"
"2312006","23SH15C","A+"
"2312006","23SH16C","C"
"2312006","23CS11C","B"
"2312006","23EE11C","A"
"2312007","23SH11C","A"
"2312007","23SH12C","U"
"2312007","23SH13C","B"
"2312007","23SH14C","B+"
"2312007","23SH15C","O"
"2312007","23SH16C","C"
"2312007","23CS11C","B+"
"2312007","23EE11C","A+"
"2312008","23SH11C","A+"
"2312008","23SH12C","C"
"2312008","23SH13C","B"
"2312008","23SH14C","A"
"2312008","23SH15C","U"
"2312008","23SH16C","B"
"2312008","23CS11C","B+"
"2312008","23EE11C","O"
"2312009","23SH11C","O"
"2312009","23SH12C","C"
"2312009","23SH13C","B+"
"2312009","23SH14C","A+"
"2312009","23SH15C","C"
"2312009","23SH16C","B"
"2312009","23CS11C","A"
"2312009","23EE11C","U"
"2312010","23SH11C","U"
"2312010","23SH12C","B"
"2312010","23SH13C","B+"
"2312010","23SH14C","O"
"2312010","23SH15C","C"
"2312010","23SH16C","B+"
"2312010","23CS11C","A+"
"2312010","23EE11C","C"
"2312011","23SH11C","C"
"2312011","23SH12C","B"
"2312011","23SH13C","A"
"2312011","23SH14C","U"
"2312011","23SH15C","B"
"2312011","23SH16C","B+"
"2312011","23CS11C","O"
"2312011","23EE11C","C"
"2312012","23SH11C","C"
"2312012","23SH12C","B+"
"2312012","23SH13C","A+"
"2312012","23SH14C","C"
